Hash,Avg_Entropy,Packed
3c3c62efd554b854ad0464ce55bb363b,5.42106245071902,not packed
3729a1dbf07e7585ac24b3d744f2b2f0,6.297723220379431,not packed
287057f5dff4d08d7d85fc6fd24fcdca,3.938793520517849,not packed
61abbf2b660a9b82646d189c4aaa7bee,5.84238532018564,not packed
540c31cb48e19966abb0aded313e1f76,5.277946271282921,not packed
62d4e89f2691ec69ddb70349cd765793,6.199529241800658,not packed
a87b234ca76e5db1e2e8bad74260dfb9,5.836373627019967,not packed
6edf1d2d19745a85092fccf41917efa2,6.048203712695265,not packed
8d5c20dc537b85ec562eee967fc927fe,6.109061280943553,not packed
c6c0bfa0156c410a7c2980f4d0fe16d2,6.210177313730742,not packed
114fed625edac96c9fbcb26f82e222c7,3.1868151277876007,not packed
b7cad2e0f5a70c03ee4a5d50ea7ce13f,6.102567920475454,not packed
7e5b72fe85070ae1127884c5a578de1c,6.423103112330635,not packed
8934c4628bff2ce469a49896d8b832c0,5.524864520559997,not packed
c8627ca97c06e0f73418fcc5d0622237,3.1707718913276444,not packed
0a3a10eb1d1030adf3c2257feed81a21,5.840415877625421,not packed
74298494e95d68ff44fa8bcaf0e226d8,5.793313933673318,not packed
9b75ced2806f758b6fd2517624509a6a,7.725853908437557,packed
ce0062780aa381273ec924503ca4f77a,6.278458695320848,not packed
a2bc33833d77edde6fd69c3adb3c607f,6.355630797935507,not packed
71e24d951be17f36d4771dc05da2ab01,6.124909631234753,not packed
6058368894f25b7bc8dd53d3a82d9146,2.67224036117266,not packed
c644a713192227041888c4b2ed76b91c,7.99590087640817,packed
1dbc58e20400a3337e963f09d02aee8a,5.344095627650201,not packed
16e8b7ebd771a693161d7d8550f552e2,6.056418836490109,not packed
b18f6fcef23df6945ac5c309273afaa7,6.730475771576215,packed
2a41b886cc32cdb3655518fbb6df0858,7.537998604411625,packed
63c288f46fcaf48ab3610895b6834267,6.289941660570281,not packed
2765fd78d1d05b5867a46f14f9f61552,4.406992751046165,not packed
f07d06d5272cd985860a84aa9a975afd,5.586140005200668,not packed
bd7fa09facb26f2a185fb666ecebb59f,3.2831172478894617,not packed
f993a2aa4748dabd752c15ac747ef2c6,5.555450422988981,not packed
746f6ebb728e7da57b28b7f02d234854,6.422800255205513,not packed
2c6645bb33ac76fbd32cc20d7996055b,3.225663619755861,not packed
01871c7051b9d47ad70c660af8d5405b,5.840614885573887,not packed
eddb1e802d48132c81ca2da4174b0bed,4.751032602737935,not packed
f3c3224f6742bfff36fbbfe129a4fc31,6.383860842933839,not packed
f4bc629155a727560544d27ea863d091,5.679388194781417,not packed
e11bc5b26efce7a8d0af4ad3ea86aede,5.565916604550104,not packed
8a6e7a2f11df5916143dc5fa9b4288dc,4.261664896925787,not packed
34887a1858b95a9c743cd72965ddd8ca,6.27009185909716,not packed
9b2432afc442977287d0f35f09558fae,3.1113839863114823,not packed
b68e2900f2bfca0413f1867723b050a1,3.313014479747501,not packed
712017eceeedbe9f0db0a6c5555248b1,6.075169659846289,not packed
5d36e39b20a7ea948e159da35733b203,5.142687544051231,not packed
0b5d119574cb69817bed16331bea5f35,7.991678861506287,packed
47e346110f0dc975db3e26d8242fd2e0,7.423173479936141,packed
00f6fca5bed1ec6b1c26d77230165589,6.805804525389062,packed
3e80a8f4f8682f1fda4cef4e1e6f8ca4,6.488175764292441,not packed
61b08ef0b41904d9cdab1d758b32673b,4.175914077860505,not packed
1fddf14984c6b57358401a4587e7b950,3.607158746540741,not packed
8b790cf97e431215b5962c6af95a57ee,6.085043765841259,not packed
bf60ede2de5b36ff7b566fba35f18ad9,5.5712083675831785,not packed
72fbc0c8121040fcabf4486af917930c,6.419794735324196,not packed
e67b131aa60305bb648f837422aae234,6.039805760193809,not packed
bda9c90d8b77a87b10b9148569afd354,7.534749529348837,packed
eddc65b0eea836b24034b10ac5106615,5.557166936324273,not packed
af02918cc5170a469d1e171ce3353b5a,6.421922247434775,not packed
1e9b66b595e119e8c3a9a247ca1cf063,5.946846905892721,not packed
2febe52ba8b3cb3181dd19bda90325ef,7.538536498720771,packed
566ca0b33b84e518b6502ec3b5af523e,6.040781748558707,not packed
2982b5fd88ea240820b91c1f8fcde0a2,7.523554000194554,packed
42e8162fbc7c65953603d1f15027d13d,3.22131985350575,not packed
79a231f9f14a3e46ae50959f44e41db2,5.072801598537508,not packed
c0d28c79ebe3621b2c304f73a7b4a2e6,6.310276120851896,not packed
23028dd0541e77c33f2a68174e3c7ed4,3.2078238756851496,not packed
5ffc24504ff8de0a2bfedc9a182a4f63,6.078539461704583,not packed
482ab804b73db91c4e179a79702d0c40,3.9201091728604727,not packed
d8989de0de152ca2d0c0cd94ec27fa02,6.258260627333461,not packed
528d9cece52e2bdaa94e290989f38e3c,5.852396130192643,not packed
a78af1a5773672dede9c3a97cb2d26a3,3.3905819034108804,not packed
e139e752cdc9c68cad9a9e797740892f,5.840786905604976,not packed
f76052d4eabaac71d58d2983cf18f6b1,5.838319629404349,not packed
eb5a8197f208df21d0307d53e23b36c4,4.621303780346294,not packed
